Symbol,Date,Open,High,Low,Close,Volume
AEL.N0000,3/3/2025,38.6,40,38.5,38.6,890789
AEL.N0000,3/4/2025,38.3,38.5,37.7,38.3,1126741
AEL.N0000,3/5/2025,39.9,39.9,38.1,39.9,928051
AEL.N0000,3/6/2025,39.2,40.3,39,39.2,1041862
AEL.N0000,3/7/2025,39,39.9,38.8,39,242804
AEL.N0000,3/10/2025,38.6,39.4,38.3,38.6,207556
AEL.N0000,3/11/2025,38,38.8,37.7,38,2241002
AEL.N0000,3/12/2025,39.7,39.9,37.7,39.7,1984900
AEL.N0000,3/14/2025,38.9,40,38.8,38.9,165740
AEL.N0000,3/17/2025,38.1,39.5,38,38.1,1614621
AEL.N0000,3/18/2025,37.5,38.1,37.4,37.5,837148
AEL.N0000,3/19/2025,37.1,37.9,37,37.1,1194440
AEL.N0000,3/20/2025,37.9,38,37.3,37.9,397309
AEL.N0000,3/21/2025,39,39.3,38,39,181201
AEL.N0000,3/24/2025,38.5,39.7,38.1,38.5,907876
AEL.N0000,3/25/2025,38.8,39,38,38.8,133308
AEL.N0000,3/26/2025,38.4,39,38,38.4,46732
AEL.N0000,3/27/2025,38.5,38.6,37.9,38.5,125171
AEL.N0000,3/28/2025,38.5,38.9,38.5,38.5,362425
AEL.N0000,4/1/2025,39.6,39.9,38.6,39.6,1295839
AEL.N0000,4/2/2025,40.3,40.6,39.6,40.3,3712613
AEL.N0000,4/3/2025,39.4,39.9,38.5,39.4,1364578
AEL.N0000,4/4/2025,38.5,39.2,38.1,38.5,922750
AEL.N0000,4/7/2025,36.2,38.3,34.8,36.2,2506819
AEL.N0000,4/8/2025,38,38.2,36.5,38,6214327
AEL.N0000,4/9/2025,36.6,37.8,36.5,36.6,901990
AEL.N0000,4/10/2025,38.5,39.8,38.3,38.5,3243735
AEL.N0000,4/11/2025,38,38.5,37.6,38,2170750
AEL.N0000,4/16/2025,38,38.5,37.8,38,168125
AEL.N0000,4/17/2025,38.8,38.9,38.4,38.8,57207
AEL.N0000,4/21/2025,38.8,39.1,38.6,38.8,350842
AEL.N0000,4/22/2025,38.1,39.1,37.8,38.1,266251
AEL.N0000,4/23/2025,38.4,39,38.1,38.4,45648
AEL.N0000,4/24/2025,38.9,39.2,38.6,38.9,167018
AEL.N0000,4/25/2025,39.7,39.9,39,39.7,4039609
AEL.N0000,4/28/2025,39.3,40.5,39,39.3,1436885
AEL.N0000,4/29/2025,39,39.8,38.7,39,442746
AEL.N0000,4/30/2025,39,39.4,38.4,39,190724
AEL.N0000,5/2/2025,38.4,39.4,38,38.4,1155822
AEL.N0000,5/5/2025,38.5,39,38.1,38.5,505406
AEL.N0000,5/6/2025,38.7,39,38.5,38.7,173263
AEL.N0000,5/7/2025,38.6,39,38.4,38.6,535376
AEL.N0000,5/8/2025,38.6,39,38.5,38.6,255081
AEL.N0000,5/9/2025,38.5,39,38.4,38.5,1195716
AEL.N0000,5/14/2025,39,39.5,38.5,39,623468
AEL.N0000,5/15/2025,38.9,39.5,38.9,38.9,759605
AEL.N0000,5/16/2025,38.3,39.5,38,38.3,1490620
AEL.N0000,5/19/2025,38.5,39,38.3,38.5,238535
AEL.N0000,5/20/2025,38,38.9,38,38,390111
AEL.N0000,5/21/2025,38,38.5,37.8,38,2306224
AEL.N0000,5/22/2025,38,38.8,37.8,38,869235
AEL.N0000,5/23/2025,38.4,38.9,38.3,38.4,715564
AEL.N0000,5/26/2025,38.7,39,38.4,38.7,770804
AEL.N0000,5/27/2025,38.5,39,38.4,38.5,1469281
AEL.N0000,5/28/2025,38.8,39,38.2,38.8,799971
AEL.N0000,5/29/2025,38.5,38.9,38.4,38.5,842598
AEL.N0000,5/30/2025,38.4,38.9,38.2,38.4,939880
AEL.N0000,6/2/2025,42,42.4,40.2,42,17261616
AEL.N0000,6/3/2025,42.8,43.2,42,42.8,5651265
AEL.N0000,6/4/2025,42.8,43.2,42.4,42.8,3790884
AEL.N0000,6/5/2025,44,44,43.1,44,4328009
AEL.N0000,6/6/2025,43.7,44.3,43.5,43.7,2323418
AEL.N0000,6/9/2025,43.2,43.8,42.8,43.2,1162049
AEL.N0000,6/11/2025,43.2,44,43.1,43.2,1070849
AEL.N0000,6/12/2025,42.7,43.3,42.5,42.7,647955
AEL.N0000,6/13/2025,42,42.5,41.1,42,1221906
AEL.N0000,6/16/2025,41.9,42.3,40.6,41.9,1829048
AEL.N0000,6/17/2025,41.5,42.5,41.4,41.5,3804090
AEL.N0000,6/18/2025,40.2,41.7,39.9,40.2,1384619
AEL.N0000,6/19/2025,39.8,41.5,39.6,39.8,1792924
AEL.N0000,6/20/2025,40.9,41.3,39.5,40.9,1653892
AEL.N0000,6/23/2025,39.5,40.4,39.3,39.5,2718528
AEL.N0000,6/24/2025,40.9,42.2,40.4,40.9,2715939
AEL.N0000,6/25/2025,42.4,42.8,42,42.4,2776447
AEL.N0000,6/26/2025,42.6,43,42.4,42.6,2807232
AEL.N0000,6/27/2025,42.5,43.2,42.2,42.5,2709444
AEL.N0000,6/30/2025,44,44.2,42.5,44,9198741
AEL.N0000,7/1/2025,43.7,44,43.3,43.7,1047068
AEL.N0000,7/2/2025,46.9,47,43.9,46.9,18344891
AEL.N0000,7/3/2025,46.9,47.9,46.5,46.9,7506379
AEL.N0000,7/4/2025,47,47.7,46,47,5556394
AEL.N0000,7/7/2025,47.2,48.3,46.3,47.2,2517777
AEL.N0000,7/8/2025,48,48,46.5,48,1648991
AEL.N0000,7/9/2025,49,49.3,47.6,49,5105918
AEL.N0000,7/11/2025,51.5,51.8,49.1,51.5,5639498
AEL.N0000,7/14/2025,54.2,54.6,51.5,54.2,3839126
AEL.N0000,7/15/2025,58.9,59.5,54.5,58.9,11862408
AEL.N0000,7/16/2025,58,59.3,57.5,58,6092619
AEL.N0000,7/17/2025,63,64.1,57.7,63,11690505
AEL.N0000,7/18/2025,62.5,63,61.8,62.5,3479974
AEL.N0000,7/21/2025,60.2,62.5,59.9,60.2,5630969
AEL.N0000,7/22/2025,61.9,62.4,59.5,61.9,4754749
AEL.N0000,7/23/2025,62.1,62.9,62,62.1,1014492
AEL.N0000,7/24/2025,61,63.1,60.8,61,2605244
AEL.N0000,7/25/2025,60.9,61.8,60.6,60.9,893271
AEL.N0000,7/28/2025,60.2,61.1,59.5,60.2,2280476
AEL.N0000,7/29/2025,60.5,60.9,58,60.5,5200361
AEL.N0000,7/30/2025,60.2,61.2,60.1,60.2,3610125
AEL.N0000,7/31/2025,60.2,60.5,59.7,60.2,4882592
AEL.N0000,8/1/2025,60.6,62,60.3,60.6,1182642
AEL.N0000,8/4/2025,59.1,61.4,59,59.1,1837287
AEL.N0000,8/5/2025,59,60,58.5,59,1447951
AEL.N0000,8/6/2025,59.1,59.9,58.6,59.1,264848
AEL.N0000,8/7/2025,59,59.8,58.8,59,751050
AEL.N0000,8/11/2025,58.9,59.5,58.6,58.9,529277
AEL.N0000,8/12/2025,59.4,59.5,58.7,59.4,342635
AEL.N0000,8/13/2025,59.7,60.1,59.3,59.7,950886
AEL.N0000,8/14/2025,59.8,60,59.3,59.8,309387
AEL.N0000,8/15/2025,58.9,59.5,56.6,58.9,8690382
AEL.N0000,8/18/2025,59,59.8,58.8,59,3556032
AEL.N0000,8/19/2025,58.5,59.9,58.3,58.5,1468711
AEL.N0000,8/20/2025,58.1,58.6,57.8,58.1,1886832
AEL.N0000,8/21/2025,57,58,56.8,57,3131868
AEL.N0000,8/22/2025,57.3,57.8,56.5,57.3,5749532
AEL.N0000,8/25/2025,57.1,57.5,56.7,57.1,1646050
AEL.N0000,8/26/2025,57.9,59.4,56.9,57.9,4295744
AEL.N0000,8/27/2025,60.5,61.6,58.9,60.5,1529785
AEL.N0000,8/28/2025,61.3,61.5,60.1,61.3,1966046
AEL.N0000,8/29/2025,61,61.6,60.9,61,734568
AEL.N0000,9/1/2025,61.3,61.7,61.1,61.3,638161
AEL.N0000,9/2/2025,61,61.5,60.9,61,1148747
AEL.N0000,9/3/2025,60.1,61.2,60,60.1,545330
AEL.N0000,9/4/2025,59.8,60.3,59.7,59.8,779502
AEL.N0000,9/8/2025,59,60,58.4,59,534235
AEL.N0000,9/9/2025,58.8,59.4,58.7,58.8,436803
AEL.N0000,9/10/2025,58,59,57.8,58,490129
AEL.N0000,9/11/2025,57.6,58.5,57.3,57.6,412888
AEL.N0000,9/12/2025,57.5,58.4,57.1,57.5,267602
AEL.N0000,9/15/2025,57.2,58,57,57.2,786672
AEL.N0000,9/16/2025,59.2,59.9,57,59.2,1420969
AEL.N0000,9/17/2025,60.6,61.5,59.6,60.6,4234727
AEL.N0000,9/18/2025,61.8,62.1,60.5,61.8,1811720
AEL.N0000,9/19/2025,61,62.1,60.6,61,596813
AEL.N0000,9/22/2025,62.1,62.5,61.2,62.1,5311473
AEL.N0000,9/23/2025,62,62.8,61.8,62,901169
AEL.N0000,9/24/2025,62,63,61.6,62,610227
AEL.N0000,9/25/2025,61.7,62.1,61,61.7,1146848
AEL.N0000,9/26/2025,61.9,62,61.5,61.9,1062107
AEL.N0000,9/29/2025,61,61.9,60.7,61,382250
AEL.N0000,9/30/2025,60.9,61.8,60.4,60.9,2279063
AEL.N0000,10/1/2025,61.9,62.5,61,61.9,2539545
AEL.N0000,10/2/2025,65.5,66,62.5,65.5,5349861
AEL.N0000,10/3/2025,64.5,66,64.4,64.5,1193572
AEL.N0000,10/7/2025,63.2,65.5,62.8,63.2,421139
AEL.N0000,10/8/2025,63,64,62.6,63,1474341
AEL.N0000,10/9/2025,62.1,63,62,62.1,379353
AEL.N0000,10/10/2025,62.5,63.4,62,62.5,426289
AEL.N0000,10/13/2025,62.1,63.8,61.9,62.1,1416288
AEL.N0000,10/14/2025,61.6,62.9,61.4,61.6,672820
AEL.N0000,10/15/2025,61.1,62.2,61,61.1,260032
AEL.N0000,10/16/2025,61.5,62,60.1,61.5,774122
AEL.N0000,10/17/2025,62.4,62.9,61.5,62.4,1004497
AEL.N0000,10/21/2025,62.8,63,62.1,62.8,584041
AEL.N0000,10/22/2025,62,63.5,61.9,62,954926
AEL.N0000,10/23/2025,61.7,62.5,61.5,61.7,819799
AEL.N0000,10/24/2025,60.8,62,60.5,60.8,960240
AEL.N0000,10/27/2025,60.5,61,60.4,60.5,680163
AEL.N0000,10/28/2025,60.7,60.7,59.8,60.7,712271
AEL.N0000,10/29/2025,60.6,61,60,60.6,555267
AEL.N0000,10/30/2025,60.4,61,60.3,60.4,194208
AEL.N0000,10/31/2025,60.9,61.2,60.5,60.9,187498
AEL.N0000,11/3/2025,61,61,60.7,61,478047
AEL.N0000,11/4/2025,61.6,62.5,61.1,61.6,795474
AEL.N0000,11/6/2025,61.3,62.5,60,61.3,928421
AEL.N0000,11/7/2025,61.7,61.9,61.3,61.7,462746
AEL.N0000,11/10/2025,64.1,65,62,64.1,2796281
AEL.N0000,11/11/2025,67.1,68.1,64,67.1,4269222
AEL.N0000,11/12/2025,66.8,68.5,66.5,66.8,1709033
AEL.N0000,11/13/2025,66.6,67,66.6,66.6,806026
AEL.N0000,11/14/2025,66.8,67,65.1,66.8,938350
AEL.N0000,11/17/2025,67.1,67.3,66.1,67.1,1850531
AEL.N0000,11/18/2025,66.7,67.6,66.4,66.7,1386248
AEL.N0000,11/19/2025,66.7,66.9,66,66.7,474344
AEL.N0000,11/20/2025,67.1,67.4,66,67.1,572757
AEL.N0000,11/21/2025,68.4,69.6,66.5,68.4,2203108
AEL.N0000,11/24/2025,68,69,66,68,1345644
AEL.N0000,11/25/2025,69.3,70,68,69.3,1195491
AEL.N0000,11/26/2025,70.6,71,69.5,70.6,3921983
AEL.N0000,11/27/2025,69.9,70.8,69.6,69.9,1775614
AEL.N0000,11/28/2025,71.6,72,69,71.6,1145399
AEL.N0000,12/1/2025,74,75.5,71.1,74,6773614
AEL.N0000,12/2/2025,72.6,76,72.5,72.6,4915655
AEL.N0000,12/3/2025,71.3,73.8,69.7,71.3,4284251
AEL.N0000,12/5/2025,71.2,73,70.9,71.2,1707483
AEL.N0000,12/8/2025,72,73.7,71.5,72,1542625
AEL.N0000,12/9/2025,73.7,73.9,72,73.7,1253889
AEL.N0000,12/10/2025,76.9,78,74,76.9,3309264
AEL.N0000,12/11/2025,76,77.5,75.8,76,1345141
AEL.N0000,12/12/2025,75.6,76,75,75.6,681472
AEL.N0000,12/15/2025,75.2,77,75.1,75.2,417479
AEL.N0000,12/16/2025,74.5,76,74.1,74.5,376913
AEL.N0000,12/17/2025,74.4,75.5,74.1,74.4,290410
AEL.N0000,12/18/2025,74,74.8,73.8,74,869580
AEL.N0000,12/19/2025,73.4,74,73.4,73.4,554441
AEL.N0000,12/22/2025,72.6,73.9,72.4,72.6,931482
AEL.N0000,12/23/2025,72.5,73,72,72.5,470345
AEL.N0000,12/24/2025,72.5,73.5,72.5,72.5,300217
AEL.N0000,12/26/2025,72.9,73.5,72.7,72.9,140392
AEL.N0000,12/29/2025,72.6,73.8,72.5,72.6,290276
AEL.N0000,12/30/2025,72.3,73.5,71.9,72.3,2942395
AEL.N0000,12/31/2025,73.3,73.9,72.9,73.3,774056
AEL.N0000,1/2/2026,76,76.5,74,76,1113768
AEL.N0000,1/5/2026,77.8,79,76.2,77.8,2114256
AEL.N0000,1/6/2026,77.3,78.1,77,77.3,1038199
AEL.N0000,1/8/2026,76.5,77.7,76.4,76.5,1775621
AEL.N0000,1/9/2026,75.7,76.7,75.5,75.7,752742
AEL.N0000,1/12/2026,75.6,76.2,75.3,75.6,605803
AEL.N0000,1/13/2026,75,76,74.8,75,237812
AEL.N0000,1/14/2026,74.1,74.9,74,74.1,1086595
AEL.N0000,1/16/2026,74.2,74.8,73.7,74.2,869281
AEL.N0000,1/19/2026,73.6,74.8,73.5,73.6,433909
AEL.N0000,1/20/2026,73.5,74,73,73.5,969701
AEL.N0000,1/21/2026,74,74.8,73.7,74,516829
AEL.N0000,1/22/2026,74,74.5,73.5,74,842786
AEL.N0000,1/23/2026,73.8,75.1,73.5,73.8,2179042
AEL.N0000,1/26/2026,74.6,74.9,73.5,74.6,456645
AEL.N0000,1/27/2026,73,75,72.9,73,478127
AEL.N0000,1/28/2026,72.7,74,72.4,72.7,377112
AEL.N0000,1/29/2026,72,73.5,71.8,72,769798
AEL.N0000,1/30/2026,71.6,72.5,71,71.6,751300
AEL.N0000,2/2/2026,71.9,72.5,70.9,71.9,490085
AEL.N0000,2/3/2026,71.9,72.5,71.1,71.9,134299
AEL.N0000,2/5/2026,71.5,72.2,71.4,71.5,201292
AEL.N0000,2/6/2026,71.6,71.9,71,71.6,1351232
AEL.N0000,2/9/2026,72,74.9,71.5,72,577777
